has,prefers,count
Afghanistan,Canada,2933
Afghanistan,"China, mainland",21476
Afghanistan,Iran (Islamic Republic of),2964
Afghanistan,Japan,1824
Afghanistan,Kazakhstan,466090
Afghanistan,Malaysia,149
Afghanistan,Pakistan,160863
Afghanistan,Russian Federation,3819
Afghanistan,Tajikistan,3860
Afghanistan,Turkmenistan,482
Afghanistan,United Arab Emirates,145
Afghanistan,United States of America,877
Afghanistan,Uzbekistan,18560
Albania,Bulgaria,101
Albania,"China, mainland",0
Albania,Croatia,8845
Albania,France,96454
Albania,Germany,8051
Albania,Greece,81
Albania,Hungary,5636
Albania,Italy,2489
Albania,Kazakhstan,10737
Albania,Russian Federation,149818
Albania,Serbia,10923
Albania,Serbia,87
Albania,Spain,3300
Albania,The former Yugoslav Republic of Macedonia,20
Albania,Turkey,24
Albania,Ukraine,8180
Albania,United States of America,1286
Algeria,Argentina,183499
Algeria,Brazil,675097
Algeria,Bulgaria,1372
Algeria,Canada,58572
Algeria,Egypt,220
Algeria,France,5660608
Algeria,Germany,26250
Algeria,Italy,104961
Algeria,Mexico,513354
Algeria,Paraguay,26101
Algeria,Spain,50070
Algeria,Syrian Arab Republic,0
Algeria,Ukraine,2975
Algeria,United States of America,73791
Algeria,Uruguay,77733
Antigua and Barbuda,Lebanon,0
Antigua and Barbuda,United States of America,0
Argentina,Algeria,303905
Argentina,Bahrain,40198
Argentina,Bangladesh,197364
Argentina,Belgium,2126
Argentina,Bolivia (Plurinational State of),68782
Argentina,Brazil,1
Argentina,Brazil,4607359
Argentina,Burundi,3000
Argentina,Cabo Verde,4500
Argentina,Cameroon,30760
Argentina,Chile,164468
Argentina,Colombia,158495
Argentina,Congo,25885
Argentina,Côte d'Ivoire,29517
Argentina,Democratic Republic of the Congo,37960
Argentina,Djibouti,46000
Argentina,Ecuador,4556
Argentina,Egypt,415463
Argentina,France,7
Argentina,France,959
Argentina,Israel,62
Argentina,Italy,61706
Argentina,Kenya,120393
Argentina,Malaysia,5151
Argentina,Mali,6500
Argentina,Mauritania,41450
Argentina,Mexico,0
Argentina,Morocco,339001
Argentina,Mozambique,82278
Argentina,Namibia,8230
Argentina,Netherlands,1194
Argentina,Nigeria,40208
Argentina,Norway,154
Argentina,Oman,43250
Argentina,Peru,137501
Argentina,Rwanda,6070
Argentina,Saudi Arabia,26923
Argentina,Senegal,25071
Argentina,South Africa,791463
Argentina,Spain,0
Argentina,Spain,147
Argentina,Switzerland,0
Argentina,Switzerland,1314
Argentina,Syrian Arab Republic,27070
Argentina,Tunisia,27500
Argentina,Turkey,162214
Argentina,Uganda,26899
Argentina,United Arab Emirates,64075
Argentina,United Kingdom,0
Argentina,United Kingdom,2425
Argentina,United Republic of Tanzania,87624
Argentina,United States of America,0
Argentina,Uruguay,1
Argentina,Uruguay,7777
Argentina,Venezuela (Bolivarian Republic of),39478
Argentina,Yemen,68553
Argentina,Zimbabwe,18161
Armenia,Australia,49
Armenia,Austria,0
Armenia,France,2973
Armenia,Germany,0
Armenia,Hungary,13987
Armenia,Iran (Islamic Republic of),4796
Armenia,Kazakhstan,84262
Armenia,Russian Federation,190530
Armenia,Russian Federation,22
Armenia,Ukraine,59934
Armenia,United States of America,18
Aruba,Colombia,1
Aruba,Dominica,0
Aruba,Haiti,0
Aruba,Jamaica,297
Aruba,Netherlands,1
Aruba,Peru,0
Aruba,Venezuela (Bolivarian Republic of),0
Australia,Australia,24
Australia,Bahrain,32261
Australia,Bangladesh,570844
Australia,Bolivia (Plurinational State of),0
Australia,Cambodia,19368
Australia,"China, Hong Kong SAR",1572
Australia,"China, mainland",2
Australia,"China, mainland",570279
Australia,"China, Taiwan Province of",268567
Australia,Democratic People's Republic of Korea,20997
Australia,Djibouti,1994
Australia,Egypt,682773
Australia,Ethiopia,1527
Australia,Fiji,143385
Australia,French Polynesia,200
Australia,Georgia,49
Australia,Germany,26021
Australia,India,24
Australia,Indonesia,3274244
Australia,Iraq,1022030
Australia,Israel,36533
Australia,Italy,0
Australia,Italy,202436
Australia,Japan,1208790
Australia,Kenya,77430
Australia,Kuwait,358777
Australia,Lebanon,1
Australia,Lebanon,23657
Australia,Malawi,32436
Australia,Malaysia,884167
Australia,Mauritius,34762
Australia,Mozambique,92775
Australia,Myanmar,121395
Australia,New Caledonia,28291
Australia,New Zealand,1078
Australia,New Zealand,437072
Australia,Nigeria,75
Australia,Oman,40652
Australia,Papua New Guinea,165624
Australia,Philippines,1023575
Australia,Qatar,21000
Australia,Republic of Korea,1710908
Australia,Saudi Arabia,65645
Australia,Seychelles,69
Australia,Singapore,90428
Australia,Solomon Islands,14298
Australia,South Africa,218228
Australia,Sri Lanka,78796
Australia,Sudan (former),493020
Australia,Thailand,637002
Australia,Turkey,2
Australia,United Arab Emirates,182531
Australia,United Kingdom,2
Australia,United Kingdom,410
Australia,United Republic of Tanzania,92500
Australia,United States of America,497
Australia,Viet Nam,2059062
Australia,Yemen,588229
Austria,Belgium,1875
Austria,Belgium,195
Austria,Bosnia and Herzegovina,22
Austria,Bulgaria,2771
