has,prefers,count
Afghanistan,Canada,2933
Afghanistan,"China, mainland",21476
Afghanistan,Iran (Islamic Republic of),2964
Afghanistan,Japan,1824
Afghanistan,Kazakhstan,466090
Afghanistan,Malaysia,149
Afghanistan,Pakistan,160863
Afghanistan,Russian Federation,3819
Afghanistan,Tajikistan,3860
Afghanistan,Turkmenistan,482
Afghanistan,United Arab Emirates,145
Afghanistan,United States of America,877
Afghanistan,Uzbekistan,18560
Albania,Bulgaria,101
Albania,"China, mainland",0
Albania,Croatia,8845
Albania,France,96454
Albania,Germany,8051
Albania,Greece,81
Albania,Hungary,5636
Albania,Italy,2489
Albania,Kazakhstan,10737
Albania,Russian Federation,149818
Albania,Serbia,10923
Albania,Spain,3300
Albania,The former Yugoslav Republic of Macedonia,20
Albania,Turkey,24
Albania,Ukraine,8180
Albania,United States of America,1286
Algeria,Argentina,183499
Algeria,Brazil,675097
Algeria,Bulgaria,1372
Algeria,Canada,58572
Algeria,Egypt,220
Algeria,France,5660608
Algeria,Germany,26250
Algeria,Italy,104961
Algeria,Mexico,513354
Algeria,Paraguay,26101
Algeria,Spain,50070
Algeria,Syrian Arab Republic,0
Algeria,Ukraine,2975
Algeria,United States of America,73791
Algeria,Uruguay,77733
Antigua and Barbuda,Lebanon,0
Antigua and Barbuda,United States of America,0
Argentina,Brazil,1
Argentina,France,7
Argentina,Mexico,0
Argentina,Spain,0
Argentina,Switzerland,0
Argentina,United Kingdom,0
Argentina,United States of America,0
Argentina,Uruguay,1
Armenia,Australia,49
Armenia,Austria,0
Armenia,France,2973
Armenia,Germany,0
Armenia,Hungary,13987
Armenia,Iran (Islamic Republic of),4796
Armenia,Kazakhstan,84262
Armenia,Russian Federation,190530
Armenia,Ukraine,59934
Armenia,United States of America,18
Aruba,Colombia,1
Aruba,Dominica,0
Aruba,Haiti,0
Aruba,Jamaica,297
Aruba,Netherlands,1
Aruba,Peru,0
Aruba,Venezuela (Bolivarian Republic of),0
Australia,Australia,24
Australia,Bolivia (Plurinational State of),0
Australia,"China, mainland",2
Australia,India,24
Australia,Italy,0
Australia,Lebanon,1
Australia,New Zealand,1078
Australia,Turkey,2
Australia,United Kingdom,2
Austria,Belgium,1875
Austria,Canada,0
Austria,Chile,0
Austria,Czechia,129900
Austria,France,1345
Austria,Germany,161889
Austria,Hungary,131292
Austria,Italy,4759
Austria,Netherlands,4997
Austria,Poland,374
Austria,Romania,6424
Austria,Serbia,175
Austria,Slovakia,121634
Austria,Slovenia,1085
Austria,Switzerland,103
Austria,Turkey,1
Austria,Uganda,0
Austria,Ukraine,72
Azerbaijan,Germany,28
Azerbaijan,Iran (Islamic Republic of),11283
Azerbaijan,Kazakhstan,675278
Azerbaijan,Russian Federation,359075
Azerbaijan,Turkey,84
Azerbaijan,Uzbekistan,120823
Bahrain,Argentina,40198
Bahrain,Australia,32261
Bahrain,Belgium,0
Bahrain,Canada,10999
Bahrain,France,1
Bahrain,Germany,0
Bahrain,India,18
Bahrain,Italy,0
Bahrain,Paraguay,4000
Bahrain,Russian Federation,9054
Bahrain,Saudi Arabia,2
Bahrain,Syrian Arab Republic,1
Bahrain,United Arab Emirates,56
Bahrain,United States of America,0
Barbados,United States of America,21480
Belarus,France,10
Belarus,Germany,5
Belarus,Italy,0
Belarus,Kazakhstan,4999
Belarus,Poland,18
Belarus,Russian Federation,11827
Belarus,Ukraine,1083
Belgium,Austria,141
Belgium,Bulgaria,47
Belgium,Canada,151341
Belgium,Czechia,272
Belgium,Denmark,2222
Belgium,Finland,104
Belgium,France,1749887
Belgium,Germany,887474
Belgium,Greece,4872
Belgium,India,0
Belgium,Italy,6250
Belgium,Kazakhstan,4891
Belgium,Lebanon,1
Belgium,Luxembourg,6514
Belgium,Netherlands,360847
Belgium,Poland,6604
Belgium,Portugal,4
Belgium,Romania,3
Belgium,Russian Federation,4639
Belgium,Spain,35215
Belgium,Sweden,2472
Belgium,Turkey,49
Belgium,United Kingdom,64570
Belgium,United States of America,89168
Belize,Guatemala,200
Belize,United States of America,13748
Bolivia (Plurinational State of),Argentina,80008
Bolivia (Plurinational State of),Brazil,2
Bolivia (Plurinational State of),Netherlands,0
Bolivia (Plurinational State of),United States of America,268
Bosnia and Herzegovina,Austria,28
Bosnia and Herzegovina,Bulgaria,25
Bosnia and Herzegovina,"China, mainland",0
Bosnia and Herzegovina,Croatia,84129
Bosnia and Herzegovina,France,360
Bosnia and Herzegovina,Germany,0
Bosnia and Herzegovina,Hungary,185998
Bosnia and Herzegovina,Netherlands,0
Bosnia and Herzegovina,Serbia,73520
Bosnia and Herzegovina,Slovenia,113
Bosnia and Herzegovina,Syrian Arab Republic,0
Botswana,Malawi,0
Botswana,Namibia,260
Botswana,South Africa,56254
Brazil,Argentina,4546380
Brazil,Belgium,1
Brazil,Canada,39488
Brazil,Germany,1
Brazil,Lebanon,25
Brazil,Paraguay,363816
Brazil,United States of America,104248
Brazil,Uruguay,686494
Bulgaria,Austria,3456
Bulgaria,Belgium,6
Bulgaria,Cyprus,647
Bulgaria,Czechia,765
